0,0.395209,0.190683,0.367412,0.23718,0.562487,0.413901
1,0.156401,0.134362,,,,
2,0.117293,0.10758,,,,
3,0.0956091,0.0909388,,,,
4,0.0811646,0.0787764,,,,
5,0.0701132,0.0687918,,,,
6,0.0620216,0.0611178,,,,
7,0.054875,0.0545432,,,,
8,0.0490782,0.0487801,,,,
9,0.0439257,0.0446621,,,,
10,0.0382876,0.0398743,,,,
11,0.0355742,0.0373869,,,,
12,0.0331856,0.0348073,,,,
13,0.0309362,0.0324747,,,,
14,0.0289335,0.0303114,,,,
15,0.0264828,0.0282532,,,,
16,0.024874,0.0261573,,,,
17,0.0232669,0.025165,,,,
18,0.0219025,0.0241279,,,,
19,0.0203293,0.0220778,,,,
20,0.0184195,0.0201737,,,,
21,0.0176875,0.0196057,,,,
22,0.0171023,0.0187963,,,,
23,0.0165948,0.0184406,,,,
24,0.0157636,0.0174451,,,,
25,0.0151981,0.0169804,,,,
26,0.014774,0.0161894,,,,
27,0.0141035,0.0155872,,,,
28,0.0138079,0.0150413,,,,
29,0.0131632,0.0146731,,,,
2,,,0.152314,0.139115,,
3,,,0.128688,0.122425,,
4,,,0.115449,0.111923,,
5,,,0.106497,0.104424,,
6,,,0.0998418,0.0985908,,
7,,,0.0945853,0.0938187,,
8,,,0.0902377,0.0898606,,
9,,,0.0865892,0.0865852,,
10,,,0.0837037,0.08448,,
11,,,0.0817592,0.0825232,,
12,,,0.0799383,0.0807748,,
13,,,0.0781872,0.0790972,,
14,,,0.0765749,0.0774623,,
15,,,0.0750629,0.0760253,,
16,,,0.0736323,0.0746108,,
17,,,0.0722723,0.0733232,,
18,,,0.0710193,0.0721351,,
19,,,0.0698317,0.0710107,,
20,,,0.068784,0.0701391,,
21,,,0.0680592,0.0694895,,
22,,,0.0673503,0.0687813,,
23,,,0.0666301,0.0680223,,
24,,,0.065936,0.0673519,,
25,,,0.0652629,0.0666602,,
26,,,0.0645833,0.0660533,,
27,,,0.0639262,0.0654439,,
28,,,0.0632928,0.0648132,,
29,,,0.0626862,0.0641707,,
2,,,,,0.368825,0.359767
3,,,,,0.350934,0.344021
4,,,,,0.336796,0.331116
5,,,,,0.324776,0.319985
6,,,,,0.314205,0.309977
7,,,,,0.304495,0.300595
8,,,,,0.295299,0.291716
9,,,,,0.286814,0.283774
10,,,,,0.280119,0.278632
11,,,,,0.275105,0.273715
12,,,,,0.270265,0.268976
13,,,,,0.265121,0.263627
14,,,,,0.259988,0.258533
15,,,,,0.254627,0.252963
16,,,,,0.249336,0.248257
17,,,,,0.244687,0.243848
18,,,,,0.240621,0.240209
19,,,,,0.237021,0.236629
20,,,,,0.233941,0.234257
21,,,,,0.231696,0.231911
22,,,,,0.229084,0.229102
23,,,,,0.226547,0.226832
24,,,,,0.224337,0.224774
25,,,,,0.222315,0.222897
26,,,,,0.220418,0.221049
27,,,,,0.218625,0.219216
28,,,,,0.216912,0.217564
29,,,,,0.215323,0.216026
