Epoch,J_train,J_test
0,1.24502,1.49428
1,1.01447,1.33009
2,0.913968,1.21549
3,0.849532,1.10721
4,0.789919,1.01187
5,0.737375,0.938436
6,0.69223,0.888126
7,0.65481,0.84706
8,0.626117,0.813798
9,0.601615,0.791326
10,0.580198,0.773308
11,0.561337,0.757857
12,0.5447,0.745126
13,0.529031,0.734705
14,0.5157,0.726009
15,0.503024,0.718597
16,0.491178,0.71333
17,0.480551,0.708322
18,0.470235,0.704087
19,0.460921,0.701082
20,0.452155,0.698434
21,0.443938,0.695905
22,0.436034,0.693678
23,0.428434,0.691833
24,0.421353,0.689637
