Epoch,J_train,J_test
0,1.11123,1.10946
1,0.915376,0.986829
2,0.829534,0.904402
3,0.764456,0.852501
4,0.714149,0.805032
5,0.671043,0.765684
6,0.63768,0.736817
7,0.611865,0.713678
8,0.590813,0.694315
9,0.572574,0.678417
10,0.55675,0.669619
11,0.542455,0.662608
12,0.530003,0.65471
13,0.518422,0.648911
14,0.509143,0.645117
15,0.499191,0.642127
16,0.490337,0.638285
17,0.482538,0.635829
18,0.475153,0.63399
19,0.469662,0.631573
20,0.462752,0.631103
21,0.456448,0.628167
22,0.452143,0.625565
23,0.445089,0.627333
24,0.442879,0.622321
