Epoch,J_train,J_test
0,2.72926,2.75929
1,2.3849,2.48562
2,2.14541,2.24794
3,1.9056,1.94251
4,1.59539,1.66407
5,1.31749,1.54269
6,1.17731,1.50805
7,1.1037,1.46545
8,1.04158,1.4215
9,0.97686,1.37383
10,0.913982,1.32261
11,0.852351,1.27296
12,0.796384,1.22665
13,0.746353,1.18622
14,0.70358,1.14995
15,0.666057,1.11801
16,0.632099,1.09077
17,0.601971,1.06853
18,0.576156,1.04802
19,0.551767,1.02951
20,0.530089,1.01388
21,0.510929,0.999793
22,0.493617,0.987437
23,0.477077,0.976838
24,0.462095,0.967527
