Epoch,J_train,J_test
0,1.0803,1.08387
1,0.891221,0.955853
2,0.806631,0.893273
3,0.750794,0.840135
4,0.700895,0.785687
5,0.65761,0.747398
6,0.6268,0.725279
7,0.602473,0.705742
8,0.581353,0.690891
9,0.563514,0.681049
10,0.548313,0.669784
11,0.534475,0.657806
12,0.522867,0.650923
13,0.512491,0.647276
14,0.502957,0.641435
15,0.494199,0.63689
16,0.48613,0.634258
17,0.478944,0.630735
18,0.471941,0.627449
19,0.465626,0.626664
20,0.459736,0.625486
21,0.454013,0.623305
22,0.448673,0.622413
23,0.443589,0.621417
24,0.438546,0.619269
