Epoch,J_train,J_test
0,1.25081,1.46229
1,1.00369,1.3018
2,0.913001,1.20426
3,0.841645,1.0973
4,0.780985,1.00721
5,0.726493,0.940137
6,0.682094,0.89486
7,0.649348,0.852298
8,0.619803,0.816874
9,0.594591,0.793929
10,0.573639,0.777488
11,0.554975,0.763499
12,0.538406,0.748755
13,0.523213,0.736403
14,0.509818,0.728383
15,0.496962,0.72016
16,0.485806,0.713804
17,0.475369,0.710467
18,0.465746,0.70793
19,0.456891,0.703537
20,0.448138,0.698867
21,0.440214,0.696072
22,0.432549,0.693324
23,0.42524,0.690562
24,0.418199,0.688636
