Epoch,J_train,J_test
0,2.73949,2.74414
1,2.38675,2.46862
2,2.15083,2.22647
3,1.90531,1.9172
4,1.59243,1.64085
5,1.32321,1.53337
6,1.17987,1.50111
7,1.10812,1.4634
8,1.04351,1.41531
9,0.97863,1.36392
10,0.91403,1.31447
11,0.85138,1.26606
12,0.798064,1.21618
13,0.744339,1.17524
14,0.700998,1.13929
15,0.662786,1.10684
16,0.628822,1.07693
17,0.598707,1.05103
18,0.572353,1.03034
19,0.548552,1.01446
20,0.527174,1.00053
21,0.507955,0.986881
22,0.491018,0.974568
23,0.474946,0.964536
24,0.460556,0.956227
