Epoch,J_train,J_test
0,2.76054,2.77542
1,2.39688,2.49954
2,2.15645,2.25642
3,1.91094,1.9495
4,1.59806,1.67222
5,1.31861,1.56338
6,1.19232,1.53269
7,1.12057,1.48414
8,1.04764,1.42515
9,0.979131,1.3757
10,0.916998,1.32963
11,0.859622,1.27511
12,0.79985,1.22886
13,0.750903,1.18842
14,0.706161,1.15218
15,0.668312,1.12114
16,0.6341,1.09291
17,0.604212,1.06663
18,0.577901,1.04524
19,0.554298,1.02863
20,0.533089,1.01382
21,0.513165,0.999907
22,0.49571,0.987628
23,0.479179,0.976602
24,0.464231,0.967508
