Epoch,J_train,J_test
0,1.27212,1.53012
1,1.02779,1.3278
2,0.921551,1.22813
3,0.856547,1.12536
4,0.796452,1.03096
5,0.741454,0.953086
6,0.696129,0.895783
7,0.658619,0.851411
8,0.628424,0.818115
9,0.604733,0.793517
10,0.58321,0.776328
11,0.564703,0.7621
12,0.547757,0.747763
13,0.532957,0.736543
14,0.518793,0.728918
15,0.505869,0.722622
16,0.494404,0.716091
17,0.483492,0.710471
18,0.473637,0.706122
19,0.464248,0.702823
20,0.455492,0.699648
21,0.447675,0.696647
22,0.439975,0.694258
23,0.432352,0.692132
24,0.425516,0.690406
