Epoch,J_train,J_test
0,1.08351,1.12341
1,0.908296,1.00344
2,0.825554,0.926423
3,0.764449,0.859799
4,0.712105,0.805991
5,0.670285,0.765753
6,0.636735,0.733678
7,0.608402,0.711554
8,0.5857,0.695029
9,0.5674,0.680819
10,0.551777,0.671193
11,0.538121,0.663308
12,0.52612,0.655429
13,0.514978,0.649349
14,0.505552,0.644953
15,0.49717,0.641153
16,0.48899,0.63792
17,0.482131,0.633941
18,0.475468,0.632071
19,0.469098,0.630763
20,0.462914,0.628871
21,0.457337,0.627047
22,0.452039,0.625118
23,0.446799,0.623954
24,0.441568,0.623047
