Epoch,J_train,J_test
0,1.25119,1.51627
1,1.01517,1.31004
2,0.911729,1.20206
3,0.846579,1.10814
4,0.789288,1.01843
5,0.732802,0.945672
6,0.68846,0.89233
7,0.65232,0.847225
8,0.624466,0.814465
9,0.600645,0.791091
10,0.580132,0.772524
11,0.561955,0.758138
12,0.545554,0.743875
13,0.530279,0.730928
14,0.516474,0.723364
15,0.503716,0.718283
16,0.492117,0.711788
17,0.481203,0.706103
18,0.471024,0.703211
19,0.461883,0.700358
20,0.453035,0.696188
21,0.444848,0.693444
22,0.436956,0.691699
23,0.429666,0.689413
24,0.4225,0.686939
