Epoch,J_train,J_test
0,1.1375,1.1179
1,0.912654,0.981666
2,0.82623,0.900783
3,0.764199,0.849805
4,0.718212,0.800532
5,0.677466,0.754115
6,0.643246,0.726665
7,0.618711,0.708143
8,0.598499,0.694289
9,0.580629,0.681754
10,0.564738,0.672385
11,0.550956,0.66495
12,0.538572,0.657275
13,0.527303,0.650557
14,0.517154,0.645703
15,0.507659,0.641433
16,0.499552,0.63805
17,0.492201,0.634775
18,0.484665,0.633022
19,0.478246,0.629728
20,0.471871,0.627911
21,0.466183,0.625963
22,0.460698,0.623373
23,0.455363,0.622814
24,0.450332,0.620177
