Epoch,J_train,J_test
0,2.75679,2.77675
1,2.40662,2.49596
2,2.15682,2.25292
3,1.91256,1.94552
4,1.59877,1.67314
5,1.32631,1.56726
6,1.19297,1.53175
7,1.12003,1.4836
8,1.05125,1.42958
9,0.983503,1.37403
10,0.915888,1.32209
11,0.853786,1.27503
12,0.799281,1.23238
13,0.749224,1.19598
14,0.707575,1.16131
15,0.669585,1.12984
16,0.637082,1.10016
17,0.607325,1.0744
18,0.581387,1.05305
19,0.557378,1.03581
20,0.535337,1.01997
21,0.516086,1.00555
22,0.498408,0.993146
23,0.481637,0.982322
24,0.466775,0.972874
