Epoch,J_train,J_test
0,2.76107,2.78148
1,2.40696,2.50816
2,2.16528,2.26638
3,1.92703,1.95443
4,1.60757,1.66101
5,1.32926,1.53424
6,1.18232,1.50218
7,1.10814,1.46402
8,1.04157,1.41605
9,0.977213,1.36564
10,0.91531,1.31756
11,0.854637,1.27025
12,0.79899,1.22582
13,0.74856,1.18323
14,0.703654,1.14628
15,0.665114,1.11526
16,0.633123,1.08627
17,0.602147,1.06204
18,0.575814,1.0408
19,0.551829,1.02325
20,0.530339,1.00825
21,0.510976,0.99561
22,0.493544,0.985211
23,0.477585,0.975498
24,0.462871,0.966628
