Epoch,J_train,J_test
0,1.11844,1.12931
1,0.895199,0.996367
2,0.809942,0.904867
3,0.753553,0.83546
4,0.702885,0.78216
5,0.664657,0.74416
6,0.632719,0.716435
7,0.607195,0.697013
8,0.587891,0.681391
9,0.570517,0.670387
10,0.555054,0.661531
11,0.542463,0.654589
12,0.53147,0.648601
13,0.520888,0.642432
14,0.511083,0.636568
15,0.502411,0.63247
16,0.494385,0.630247
17,0.487151,0.627466
18,0.480444,0.625343
19,0.474082,0.623911
20,0.468136,0.621337
21,0.462448,0.620137
22,0.457057,0.619597
23,0.451806,0.618108
24,0.446568,0.6171
