Epoch,J_train,J_test
0,1.29824,1.53971
1,1.02893,1.33397
2,0.918669,1.22364
3,0.852006,1.12342
4,0.795584,1.0302
5,0.741301,0.95069
6,0.693107,0.903123
7,0.656452,0.866194
8,0.625973,0.827535
9,0.601521,0.799667
10,0.580898,0.783815
11,0.561646,0.769795
12,0.544958,0.754545
13,0.52983,0.742815
14,0.516812,0.736282
15,0.504158,0.730276
16,0.493049,0.722432
17,0.482311,0.717377
18,0.472569,0.714243
19,0.463574,0.710577
20,0.454936,0.706518
21,0.447162,0.704344
22,0.439537,0.703554
23,0.432476,0.701441
24,0.425337,0.69887
