Epoch,J_train,J_test
0,1.23934,1.49382
1,1.00814,1.31858
2,0.912306,1.22221
3,0.849508,1.12231
4,0.791495,1.02556
5,0.737715,0.948739
6,0.69206,0.897744
7,0.655956,0.859254
8,0.62701,0.823456
9,0.602311,0.79348
10,0.5806,0.773463
11,0.561045,0.759266
12,0.544073,0.745901
13,0.528726,0.733487
14,0.51478,0.725233
15,0.501841,0.719767
16,0.489906,0.713954
17,0.478819,0.709135
18,0.46874,0.70453
19,0.459627,0.700363
20,0.450641,0.696388
21,0.442522,0.693655
22,0.434668,0.691956
23,0.427351,0.690172
24,0.420295,0.688079
