Epoch,J_train,J_test
0,2.73893,2.76332
1,2.39653,2.48413
2,2.14946,2.24403
3,1.91241,1.93856
4,1.59973,1.66539
5,1.32494,1.55315
6,1.19233,1.51805
7,1.11489,1.46807
8,1.04335,1.41942
9,0.977947,1.37207
10,0.91544,1.31872
11,0.852166,1.2692
12,0.796236,1.22513
13,0.746772,1.1847
14,0.705384,1.1463
15,0.666226,1.11442
16,0.632578,1.08672
17,0.602008,1.06198
18,0.575695,1.03851
19,0.551388,1.01867
20,0.529532,1.00218
21,0.509853,0.98824
22,0.491951,0.975976
23,0.475374,0.965426
24,0.460271,0.955811
