Epoch,J_train,J_test
0,1.0969,1.10295
1,0.897762,0.982908
2,0.806372,0.905211
3,0.749026,0.845083
4,0.696995,0.796128
5,0.657767,0.751932
6,0.62498,0.724688
7,0.598307,0.70559
8,0.576906,0.688933
9,0.560661,0.677328
10,0.545343,0.668502
11,0.532308,0.657276
12,0.521004,0.650941
13,0.510726,0.645755
14,0.50104,0.640669
15,0.492613,0.635997
16,0.485067,0.633234
17,0.477833,0.629671
18,0.471243,0.626486
19,0.465042,0.624376
20,0.459047,0.622212
21,0.453514,0.620416
22,0.448245,0.619105
23,0.442991,0.61745
24,0.438249,0.615859
