Epoch,J_train,J_test
0,1.15207,1.12624
1,0.914744,0.987706
2,0.821458,0.90946
3,0.760557,0.853148
4,0.711412,0.798371
5,0.667902,0.760643
6,0.636796,0.734699
7,0.6102,0.717487
8,0.588761,0.701357
9,0.570809,0.685799
10,0.555109,0.674597
11,0.54177,0.666422
12,0.530091,0.658639
13,0.518887,0.654606
14,0.509182,0.650675
15,0.500547,0.644642
16,0.492581,0.640859
17,0.48491,0.64006
18,0.478413,0.637128
19,0.471944,0.633613
20,0.466076,0.633086
21,0.460214,0.631278
22,0.454801,0.62883
23,0.449502,0.627966
24,0.444425,0.627147
