Epoch,J_train,J_test
0,1.28707,1.49521
1,1.02852,1.30911
2,0.918647,1.197
3,0.852636,1.10017
4,0.795778,1.0077
5,0.740903,0.934723
6,0.694763,0.881831
7,0.655963,0.841833
8,0.628432,0.806428
9,0.603794,0.781503
10,0.583031,0.764329
11,0.564949,0.750652
12,0.547876,0.737468
13,0.533074,0.726248
14,0.51856,0.717434
15,0.506175,0.710916
16,0.494587,0.706089
17,0.483967,0.701358
18,0.473967,0.69695
19,0.464852,0.69237
20,0.456298,0.689201
21,0.448326,0.686905
22,0.440485,0.684342
23,0.433133,0.68221
24,0.425992,0.680717
