Epoch,J_train,J_test
0,1.09136,1.09152
1,0.896317,0.979612
2,0.812294,0.905885
3,0.749458,0.846647
4,0.700409,0.799475
5,0.661245,0.762746
6,0.62949,0.735505
7,0.60414,0.713308
8,0.582363,0.697966
9,0.564409,0.682842
10,0.549246,0.671653
11,0.535492,0.662476
12,0.523423,0.654451
13,0.512317,0.647698
14,0.502825,0.642366
15,0.493765,0.638789
16,0.485909,0.636086
17,0.478477,0.632472
18,0.471567,0.629132
19,0.46505,0.626786
20,0.45907,0.625086
21,0.453279,0.623505
22,0.447804,0.621255
23,0.442516,0.620028
24,0.437597,0.618899
