Epoch,J_train,J_test
0,2.7525,2.75293
1,2.41117,2.47274
2,2.16314,2.23189
3,1.91326,1.93038
4,1.59932,1.65685
5,1.33234,1.54442
6,1.18814,1.50504
7,1.11563,1.46787
8,1.05162,1.42581
9,0.986063,1.37969
10,0.920672,1.32796
11,0.860089,1.2752
12,0.80197,1.22678
13,0.749455,1.18498
14,0.705934,1.14982
15,0.66778,1.11876
16,0.633802,1.08825
17,0.60307,1.06157
18,0.575978,1.04093
19,0.552507,1.02526
20,0.530426,1.01044
21,0.51081,0.995489
22,0.492634,0.981594
23,0.477069,0.970485
24,0.462007,0.962703
