Epoch,J_train,J_test
0,1.23951,1.49636
1,1.00962,1.31255
2,0.90867,1.20519
3,0.842876,1.09925
4,0.784754,1.01063
5,0.733973,0.940549
6,0.688306,0.893323
7,0.652257,0.852257
8,0.623072,0.817054
9,0.599532,0.791929
10,0.577923,0.771989
11,0.559409,0.755885
12,0.542066,0.743345
13,0.527138,0.735126
14,0.513353,0.728358
15,0.500868,0.720214
16,0.489107,0.713387
17,0.478543,0.70887
18,0.468891,0.70386
19,0.459757,0.699421
20,0.451339,0.696439
21,0.443365,0.694262
22,0.435895,0.691806
23,0.428725,0.689726
24,0.421889,0.68781
