Epoch,J_train,J_test
0,1.2388,1.48892
1,1.01122,1.30733
2,0.914544,1.20962
3,0.853021,1.11241
4,0.795731,1.023
5,0.742983,0.945457
6,0.693974,0.891087
7,0.657696,0.849897
8,0.626828,0.812949
9,0.600149,0.784671
10,0.577794,0.764061
11,0.558769,0.749002
12,0.542463,0.737451
13,0.527005,0.727143
14,0.513432,0.716988
15,0.500723,0.708716
16,0.489199,0.703159
17,0.478493,0.698878
18,0.468803,0.694356
19,0.459678,0.690314
20,0.451096,0.686747
21,0.442955,0.683796
22,0.435509,0.681532
23,0.428262,0.679675
24,0.421151,0.678066
