Epoch,J_train,J_test
0,2.74469,2.7642
1,2.3881,2.487
2,2.15367,2.24051
3,1.90532,1.92898
4,1.60134,1.65027
5,1.31563,1.54454
6,1.18292,1.51529
7,1.11758,1.47926
8,1.05483,1.42722
9,0.984117,1.37818
10,0.91945,1.32872
11,0.856959,1.27714
12,0.799298,1.22917
13,0.750802,1.18396
14,0.707687,1.14508
15,0.669046,1.11235
16,0.634752,1.08446
17,0.605001,1.05884
18,0.578231,1.03715
19,0.554198,1.01888
20,0.533148,1.00428
21,0.513319,0.990928
22,0.495133,0.978249
23,0.478942,0.966273
24,0.464106,0.955686
