Epoch,J_train,J_test
0,1.05832,1.06216
1,0.893903,0.951709
2,0.816288,0.878322
3,0.75728,0.829148
4,0.710388,0.789971
5,0.670467,0.751359
6,0.635754,0.720801
7,0.610319,0.701583
8,0.588183,0.686067
9,0.569723,0.671853
10,0.554423,0.661414
11,0.541056,0.654536
12,0.529471,0.647706
13,0.518208,0.641475
14,0.508498,0.636553
15,0.499861,0.633506
16,0.491532,0.630426
17,0.484329,0.626797
18,0.477498,0.623792
19,0.471652,0.621687
20,0.465068,0.620253
21,0.459467,0.619499
22,0.454358,0.616723
23,0.448804,0.615983
24,0.443566,0.615581
