Epoch,J_train,J_test
0,1.25903,1.49828
1,1.01784,1.30859
2,0.915633,1.20172
3,0.851689,1.10522
4,0.794704,1.00809
5,0.738673,0.932506
6,0.69376,0.880917
7,0.6566,0.839383
8,0.62748,0.805468
9,0.603407,0.781607
10,0.582411,0.76413
11,0.563837,0.748755
12,0.547429,0.734476
13,0.531942,0.724915
14,0.518106,0.717577
15,0.505273,0.71019
16,0.493147,0.704592
17,0.482648,0.701195
18,0.472719,0.697139
19,0.46344,0.693078
20,0.454871,0.690414
21,0.4468,0.687876
22,0.438822,0.684823
23,0.431489,0.682534
24,0.424235,0.680914
