Epoch,J_train,J_test
0,0.318374,0.213067
1,0.183023,0.165947
2,0.155238,0.148766
3,0.143864,0.141045
4,0.137958,0.137222
5,0.134644,0.134697
6,0.132206,0.132015
7,0.130515,0.130694
8,0.12938,0.129712
9,0.128172,0.128502
10,0.126976,0.128788
11,0.126227,0.126478
12,0.125358,0.125437
13,0.124636,0.125541
14,0.124015,0.124199
15,0.12323,0.123686
16,0.122774,0.123513
17,0.122452,0.1241
18,0.121868,0.12211
19,0.121222,0.121951
20,0.120954,0.121303
21,0.120628,0.121257
22,0.12025,0.121195
23,0.11975,0.120397
24,0.119511,0.11995
25,0.119211,0.120519
26,0.119048,0.119903
27,0.118864,0.119906
28,0.118706,0.119835
29,0.118578,0.119547
