0,0.325245,0.178119,0.474997,0.358909
1,0.144873,0.121913,,
2,0.103538,0.0913811,,
3,0.0796284,0.072802,,
4,0.063554,0.0591708,,
5,0.0518884,0.0508798,,
6,0.0438749,0.0439946,,
7,0.0381993,0.0374186,,
8,0.034201,0.0340534,,
9,0.0316427,0.032236,,
10,0.0296757,0.0298902,,
11,0.0278382,0.0291175,,
12,0.0269365,0.0267649,,
13,0.02605,0.0264543,,
14,0.0252488,0.025531,,
15,0.0247603,0.0256575,,
16,0.0242078,0.0255042,,
17,0.0237918,0.0241971,,
18,0.0235595,0.0249531,,
19,0.0230332,0.0236581,,
20,0.0230026,0.0231731,,
21,0.0227156,0.0233255,,
22,0.0223035,0.0236442,,
23,0.0221163,0.0230603,,
24,0.0220612,0.0227617,,
25,0.021868,0.0221006,,
26,0.0219864,0.0237205,,
27,0.0215132,0.0229457,,
28,0.0216759,0.0225855,,
29,0.0215625,0.0217857,,
2,,,0.30489,0.295206
3,,,0.286355,0.280902
4,,,0.278393,0.277897
5,,,0.2764,0.276423
6,,,0.27519,0.27539
7,,,0.274174,0.274399
8,,,0.273206,0.273378
9,,,0.272157,0.27229
10,,,0.271084,0.271267
11,,,0.270019,0.27019
12,,,0.268628,0.268619
13,,,0.266858,0.266764
14,,,0.265353,0.265403
15,,,0.263958,0.264056
16,,,0.262569,0.262644
17,,,0.26119,0.261388
18,,,0.259835,0.260137
19,,,0.258546,0.258847
20,,,0.257295,0.257731
21,,,0.25606,0.256563
22,,,0.25484,0.255552
23,,,0.253642,0.254364
24,,,0.252378,0.253008
25,,,0.251076,0.251781
26,,,0.249798,0.250626
27,,,0.24864,0.24982
28,,,0.247543,0.248872
29,,,0.246505,0.247781
