Epoch,J_train,J_test
0,0.347108,0.240664
1,0.21336,0.195008
2,0.186308,0.181356
3,0.176472,0.174323
4,0.171232,0.170259
5,0.167812,0.167169
6,0.16573,0.165635
7,0.164829,0.164989
8,0.164105,0.164544
9,0.163673,0.163705
10,0.163212,0.163792
11,0.162796,0.163492
12,0.162561,0.163341
13,0.162199,0.162664
14,0.16184,0.161945
15,0.16165,0.162904
16,0.161305,0.161888
17,0.161111,0.161953
18,0.160867,0.161689
19,0.16069,0.161325
20,0.16047,0.161167
21,0.160264,0.161231
22,0.160149,0.161211
23,0.159993,0.161042
24,0.159794,0.160994
25,0.159689,0.160977
26,0.159556,0.160955
27,0.159319,0.160991
28,0.158898,0.159606
29,0.157969,0.15935
30,0.15757,0.159335
31,0.157292,0.158975
32,0.15706,0.158959
33,0.156892,0.158831
34,0.15674,0.159196
35,0.156587,0.158408
36,0.156475,0.158538
37,0.156333,0.158426
38,0.156231,0.158685
39,0.156022,0.158164
