Epoch,J_train,J_test
0,0.378691,0.223171
1,0.183915,0.156722
2,0.135726,0.122511
3,0.107397,0.0994957
4,0.0881537,0.0829381
5,0.0740587,0.0717069
6,0.0634362,0.0623505
7,0.0551371,0.0546729
8,0.0483821,0.0485034
9,0.0429147,0.0445958
10,0.038404,0.0388912
11,0.0344494,0.0358331
12,0.0311593,0.0323305
13,0.0283808,0.0298982
14,0.0258812,0.0271025
15,0.0237476,0.0252183
16,0.021991,0.0242199
17,0.0204416,0.0217267
18,0.0189638,0.0204225
19,0.0178945,0.0192768
20,0.0166873,0.0182502
21,0.0158618,0.0181044
22,0.0149545,0.0163795
23,0.0142873,0.0154869
24,0.0136913,0.0148249
25,0.0130015,0.0149561
26,0.0125271,0.0136024
27,0.0119077,0.0133982
28,0.0115596,0.0125626
29,0.0111939,0.0121707
30,0.0108486,0.0127394
31,0.010445,0.0117306
32,0.0101106,0.011429
33,0.00984111,0.0107694
34,0.00976123,0.0105069
35,0.00933351,0.0104218
36,0.00904104,0.0101198
37,0.00896379,0.010811
38,0.00866816,0.00987321
39,0.00853798,0.00955847
