Epoch,J_train,J_test
0,0.212177,0.131996
1,0.112438,0.0999532
2,0.0923043,0.0873134
3,0.0824322,0.0798777
4,0.075996,0.0749011
5,0.0716924,0.0714406
6,0.0682664,0.067902
7,0.0656898,0.0660783
8,0.0637023,0.0641676
9,0.0621238,0.0622989
10,0.0605409,0.0611845
11,0.0595445,0.0605795
12,0.0584993,0.0594779
13,0.0578188,0.0587692
14,0.0570586,0.0580212
15,0.0565194,0.0574557
16,0.0560228,0.0574448
17,0.055662,0.0565232
18,0.0551913,0.0565885
19,0.0548703,0.0564574
20,0.0546211,0.055532
21,0.054203,0.0554852
22,0.0539935,0.0551376
23,0.0539527,0.054725
24,0.0535592,0.0545161
25,0.0535205,0.0544972
26,0.0533262,0.0545658
27,0.0531232,0.0543897
28,0.0530453,0.0542964
29,0.0529629,0.0540758
30,0.0527646,0.053857
31,0.0526476,0.0538174
32,0.0526433,0.05391
33,0.0525353,0.0537796
34,0.0524014,0.0536422
35,0.0523276,0.0538825
36,0.0522966,0.0538184
37,0.0522229,0.0538171
38,0.052192,0.0534568
39,0.0521024,0.0537874
