Epoch,J_train,J_test
0,1.10914,1.09508
1,0.911515,0.980282
2,0.824788,0.897375
3,0.760343,0.83644
4,0.71325,0.793422
5,0.670954,0.754295
6,0.637152,0.724513
7,0.612591,0.705791
8,0.590678,0.691088
9,0.573107,0.675093
10,0.557039,0.664859
11,0.54303,0.660836
12,0.531115,0.652678
13,0.519854,0.644116
14,0.510173,0.638791
15,0.501519,0.634878
16,0.493352,0.632856
17,0.485632,0.629955
18,0.478849,0.625996
19,0.472557,0.623028
20,0.466542,0.623133
21,0.460799,0.62115
22,0.45545,0.618996
23,0.450199,0.618159
24,0.445201,0.616913
